status,card_good,card_bad,card_gray,card_delta_days,card_is_quick,card_is_new,card_today_count,card_amount_deviation,ip_good,ip_bad,ip_gray,ip_delta_days,ip_is_quick,ip_is_new,ip_today_count,ip_amount_deviation,address_good,address_bad,address_gray,address_delta_days,address_is_quick,address_is_new,address_today_count,address_amount_deviation,email_good,email_bad,email_gray,email_delta_days,email_is_quick,email_is_new,email_today_count,email_amount_deviation,phone_good,phone_bad,phone_gray,phone_delta_days,phone_is_quick,phone_is_new,phone_today_count,phone_amount_deviation,amount
0,0,0,0,-1,-1,1,0,-1,0,0,0,-1,-1,1,0,-1,0,0,0,-1,-1,1,0,-1,0,0,0,-1,-1,1,0,-1,26,5,85,32,0,0,0,2,26.23
0,0,0,0,-1,-1,1,0,-1,0,0,0,-1,-1,1,0,-1,0,0,0,-1,-1,1,0,-1,60,3,6,34,0,0,0,3,1,0,0,372,0,0,0,1,24.95
0,0,0,3,51,0,0,0,10,0,0,0,-1,-1,1,0,-1,63,0,6,44,0,0,0,12,63,0,6,44,0,0,0,12,48,0,8,39,0,0,0,74,674.18
0,4,0,3,63,0,0,0,7,2,0,4,45,0,0,0,4,4,0,3,63,0,0,0,7,157,2,31,33,0,0,0,2,29,1,16,37,0,0,0,8,50.1
0,0,0,0,-1,-1,1,0,-1,0,0,0,-1,-1,1,0,-1,0,0,0,-1,-1,1,0,-1,651,11,120,32,0,0,0,3,24,2,16,32,0,0,0,5,50.15
0,0,0,0,-1,-1,1,0,-1,0,0,0,-1,-1,1,0,-1,2,0,0,365,0,0,0,16,2,0,0,365,0,0,0,16,43,0,22,33,0,0,0,1,104.9
0,0,0,0,-1,-1,1,0,-1,0,0,2,35,0,0,0,6,0,0,9,32,0,0,0,9,0,0,9,32,0,0,0,9,17,0,64,32,0,0,0,19,209.8
0,0,0,0,-1,-1,1,0,-1,0,0,22,33,0,0,0,10,0,0,3,36,0,0,0,10,0,0,3,36,0,0,0,10,28,4,32,32,0,0,0,5,52.45
0,0,0,0,-1,-1,1,0,-1,1,0,2,33,0,0,0,33,1,0,2,33,0,0,0,33,1,0,2,33,0,0,0,33,1,0,2,33,0,0,0,33,83.92
0,0,0,0,-1,-1,1,0,-1,0,0,3,44,0,0,0,13,0,0,0,-1,-1,1,0,-1,9303,411,2880,32,0,0,0,5,0,0,6,44,0,0,0,8,90.0
0,0,0,0,-1,-1,1,0,-1,0,0,0,-1,-1,1,0,-1,0,0,0,-1,-1,1,0,-1,0,0,0,-1,-1,1,0,-1,86,4,6,33,0,0,0,16,100.0
